version        | name                                                     | created_by                                                                  
---------------+----------------------------------------------------------+-----------------------------------------------------------------------------
20260105090233 | ghl_sync_schema                                          |                                                                             
20260120000000 | project_updates                                          |                                                                             
20260121000000 | communications_history                                   |                                                                             
20260121000001 | voice_notes                                              |                                                                             
20260121000010 | agent_audit_log                                          |                                                                             
20260121000011 | cultural_triggers                                        |                                                                             
20260121000012 | api_usage                                                |                                                                             
20260121000013 | unified_entities                                         |                                                                             
20260121000014 | decision_traces                                          |                                                                             
20260121300000 | agent_command_center                                     |                                                                             
20260121400000 | executing_agents                                         |                                                                             
20260122000000 | farmhand_migration_tables                                |                                                                             
20260122000001 | fix_embedding_dimensions                                 |                                                                             
20260122100000 | agentic_workflow                                         |                                                                             
20260122100001 | fix_agentic_triggers                                     |                                                                             
20260122200000 | agentic_projects                                         |                                                                             
20260122300000 | project_knowledge                                        |                                                                             
20260122400000 | calendar_events                                          |                                                                             
20260123000001 | xero_integration                                         |                                                                             
20260123000002 | agent_learnings                                          |                                                                             
20260123000003 | cultural_review_queue                                    |                                                                             
20260123100000 | multi_agent_coordination                                 |                                                                             
20260124000000 | receipt_reconciliation                                   |                                                                             
20260124100000 | goals_2026                                               |                                                                             
20260125000000 | goals_health_system                                      |                                                                             
20260126000000 | goal_position_ordering                                   |                                                                             
20260127000000 | subscriptions                                            |                                                                             
20260127000001 | project_health                                           |                                                                             
20260127000002 | grants                                                   |                                                                             
20260128000000 | subscription_discovery                                   |                                                                             
20260130000000 | imessage_sync                                            |                                                                             
20260131000000 | memory_lifecycle                                         |                                                                             
20260131100000 | knowledge_graph                                          |                                                                             
20260131200000 | episodic_working_memory                                  |                                                                             
20260131300000 | hybrid_retrieval                                         |                                                                             
20260131400000 | procedural_memory                                        |                                                                             
20260201000000 | learning_system                                          |                                                                             
20260201100000 | integration_events                                       |                                                                             
20260201500000 | fix_nic_emails_contacts                                  |                                                                             
20260202000000 | communication_intelligence                               |                                                                             
20260203000000 | drop_legacy_tables                                       |                                                                             
20260204000000 | reminders                                                |                                                                             
20260204000001 | repo_project_links                                       |                                                                             
20260204100000 | project_summaries                                        |                                                                             
20260205000000 | daily_reflections                                        |                                                                             
20260205000001 | fix_ghl_contacts_source                                  |                                                                             
20260206000000 | goods_newsletter                                         |                                                                             
20260206100000 | goods_content_library                                    |                                                                             
20260206200000 | ghl_contacts_website                                     |                                                                             
20260207000000 | combined_apply                                           |                                                                             
20260207000001 | strategic_systems                                        |                                                                             
20260207100000 | combined_xero_and_strategic                              |                                                                             
20260209000001 | financial_dashboards                                     |                                                                             
20260209100000 | ecosystem_alignment                                      |                                                                             
20260210100000 | cross_domain_views                                       |                                                                             
20260212000001 | add_canonical_entity_link                                |                                                                             
20260213000001 | enhance_relationship_health                              |                                                                             
20260213100000 | add_source_to_calendar_events                            |                                                                             
20260213200000 | add_tags_to_calendar_events                              |                                                                             
20260214000001 | contact_ranking                                          |                                                                             
20260214100000 | canonical_projects_table                                 |                                                                             
20260214200000 | vendor_rules_and_financials                              |                                                                             
20260214300000 | add_status_to_knowledge                                  |                                                                             
20260214400000 | grant_discovery                                          |                                                                             
20260214500000 | grant_assets_and_pipeline                                |                                                                             
20260214600000 | grant_funder_documents                                   |                                                                             
20260215000001 | insight_votes                                            |                                                                             
20260218000001 | telegram_state                                           |                                                                             
20260218000002 | communication_user_actions                               |                                                                             
20260222000000 | sprint_items                                             |                                                                             
20260223000000 | grant_ghl_link                                           |                                                                             
20260224000000 | grant_enrichment                                         |                                                                             
20260224000001 | sprint_suggestions                                       |                                                                             
20260226000000 | notion_agent_trials                                      |                                                                             
20260227000000 | gmail_push_and_event_reactor                             |                                                                             
20260228000000 | fix_need_to_respond                                      |                                                                             
20260228000001 | grant_engine_sources                                     |                                                                             
20260301000000 | agent_intelligence                                       |                                                                             
20260301000001 | financial_clarity                                        |                                                                             
20260301000002 | opportunity_pipeline                                     |                                                                             
20260301000003 | pm2_cron_status                                          |                                                                             
20260301000004 | project_intelligence                                     |                                                                             
20260301000005 | sync_status                                              |                                                                             
20260303000000 | dext_forwarded_emails                                    |                                                                             
20260303000001 | stripe_revenue_tracking                                  |                                                                             
20260304000000 | meeting_transcripts                                      |                                                                             
20260304000001 | receipt_pipeline                                         |                                                                             
20260306000000 | grant_deadline_alerts                                    |                                                                             
20260306000001 | organization_claims                                      | codex                                                                       
20260309112930 | add_person_identity_map_indexes                          | hi@act.place                                                                
20260309195757 | justice_funding_dedup_constraint                         | hi@act.place                                                                
20260309205824 | gs_entity_bridge                                         | hi@act.place                                                                
20260311015859 | new_vendor_rules_and_dext_setup                          | hi@act.place                                                                
20260311032533 | new_vendor_rules_and_dext_supplier_status                | hi@act.place                                                                
20260311032805 | procurement_workspace                                    | hi@act.place                                                                
20260311034109 | dext_receipts                                            | hi@act.place                                                                
20260311070123 | governed_proof_control_plane                             | hi@act.place                                                                
20260311221339 | page_gallery_config                                      | hi@act.place                                                                
20260312004340 | relationship_pipeline                                    | hi@act.place                                                                
20260312004938 | idea_board                                               | hi@act.place                                                                
20260314010253 | intervention_yj_classification                           | hi@act.place                                                                
20260314054359 | secure_agent_sql                                         | hi@act.place                                                                
20260314054426 | fix_agent_sql_role                                       | hi@act.place                                                                
20260315123725 | passion_scoring                                          | hi@act.place                                                                
20260315124023 | opposition_tracking                                      | hi@act.place                                                                
20260315124240 | tracked_posts                                            | hi@act.place                                                                
20260315130649 | community_reflections                                    | hi@act.place                                                                
20260315225556 | fix_power_concentration_filter                           | hi@act.place                                                                
20260315231349 | fix_power_concentration_blank_filter                     | hi@act.place                                                                
20260315231625 | fix_power_concentration_exclude_expenditure              | hi@act.place                                                                
20260315231822 | fix_overview_exclude_expenditure_aggregates              | hi@act.place                                                                
20260315232251 | power_concentration_include_abns                         | hi@act.place                                                                
20260315232537 | fix_top_recipients_exclude_aggregates                    | hi@act.place                                                                
20260315232622 | fix_all_justice_funding_rpcs_exclude_aggregates          | hi@act.place                                                                
20260315232650 | fix_organizations_rpc_exclude_aggregates                 | hi@act.place                                                                
20260316001129 | lga_cross_system_stats                                   | hi@act.place                                                                
20260317235140 | update_project_tiers                                     | hi@act.place                                                                
20260318011415 | add_art_tier                                             | hi@act.place                                                                
20260318033312 | dream_journal                                            | hi@act.place                                                                
20260318195116 | site_config                                              | hi@act.place                                                                
20260318200310 | synced_stories_slug                                      | hi@act.place                                                                
20260318215620 | add_last_campaign_sent_at_to_newsletter_subscriptions    | hi@act.place                                                                
20260319210400 | add_metadata_to_newsletter_subscriptions                 | hi@act.place                                                                
