id,name,abn,acn,icn,website,description,org_type,legal_structure,sector,state,city,postcode,geographic_focus,certifications,sources,source_primary,enriched_at,profile_confidence,created_at,updated_at,target_beneficiaries,logo_url,business_model
a172cad2-6dfe-4d92-8381-0add2ccdd86d,Our Work,,,,,,social_enterprise,,{community},QLD,,,,[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.443Z""}]",qsec,,low,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,,,
15ed4222-cf3f-4769-8f20-9f84604a8ee9,Queensland Social Enterprise Awards,,,,https://queenslandsocialenterpriseawards.com.au/,,social_enterprise,,{community},QLD,,,,[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.443Z""}]",qsec,,low,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,,,
84198b4c-a58c-48d5-8c3e-073f9e8a0ffc,QSEC Stories,,,,https://www.qsec.org.au/stories/,,social_enterprise,,{community},QLD,,,,[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.443Z""}]",qsec,2026-03-12 20:08:17.69+00,medium,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,,,
39a0fe09-3be9-4aee-93e9-ff1ab905688a,Creating a Diverse Workforce,,,,https://diverseworkforce.qsec.org.au/,,social_enterprise,,{employment},QLD,,,,[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.443Z""}]",qsec,,low,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,,,
91ad8601-ba82-46b7-9091-b78376364239,Membership,,,,https://www.qsec.org.au/membership/,,social_enterprise,,{community},QLD,,,,[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.443Z""}]",qsec,,low,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,,,
1c5d168a-58f9-4c14-aeac-cf69df67ed9b,Joining QSEC,,,,,,social_enterprise,,{community},QLD,,,,[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.443Z""}]",qsec,,low,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,,,
09c840e7-c26e-4c80-bb9d-86fbfc59bd26,Become A Member,,,,https://www.qsec.org.au/membership/,,social_enterprise,,{community},QLD,,,,[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.444Z""}]",qsec,,low,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,,,
11d12afb-4caa-4bbe-bba5-0a3f5222d3e8,Verification,,,,https://www.qsec.org.au/verification/,,social_enterprise,,{community},QLD,,,,[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.444Z""}]",qsec,2026-03-12 20:08:24.228+00,high,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,,,
9bc8a7a5-316a-4bc4-8452-28014cd8d365,Log In,,,,https://www.qsec.org.au/log-in/,,social_enterprise,,{community},QLD,,,{QLD},[],"[{""url"": ""https://www.qsec.org.au/members"", ""source"": ""qsec"", ""scraped_at"": ""2026-05-09T09:41:05.444Z""}]",qsec,2026-03-12 21:55:05.131+00,medium,2026-03-12 06:54:45.096713+00,2026-03-12 06:54:45.096713+00,"{""social enterprises"",""social enterprise employees"",""nonprofit organisations"",""Queensland businesses""}",,"QSEC earns revenue through membership fees paid by social enterprise members, which funds support services, events, and advocacy for the sector."
e3b152bd-d14b-415b-86dd-98264cf8fa96,Board Members,,,,https://www.sasec.org.au/about/board,,social_enterprise,,{community},SA,,,{SA},[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,2026-03-12 21:52:46.489+00,low,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,"{""social enterprises"",""people facing employment barriers"",""charitable organisations"",""small businesses"",""community groups""}",,"SASEC likely operates as a member-based organisation or peak body supporting social enterprises through advocacy, networking, and capacity building services."
e2f7370a-9845-4ce2-9bee-6aa2e1a882a9,Business for Good 25-27,,,,https://www.sasec.org.au/Businessforgood,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,,low,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
28eca762-7b44-48a7-8a68-4564327efe0d,Stage 1 Vision,,,,https://www.sasec.org.au/resource-library/vision,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,2026-03-12 20:02:28.745+00,low,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
8d8870c6-3cfa-422d-bc2c-5267769e4ea2,Stage 2 Validation,,,,https://www.sasec.org.au/resource-library/validation,,social_enterprise,,{community},SA,,,"{SA,""South Australia""}",[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,2026-03-12 21:50:37.61+00,medium,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,"{""new social enterprises"",""existing social enterprises"",startups,""businesses transitioning to social enterprise"",""social entrepreneurs""}",,The validation program likely operates as a government-funded or membership-supported initiative providing advisory services and accreditation to social enterprises in South Australia.
f0518b43-d683-429f-9d1c-c800ab679b89,Stage 3 Development,,,,https://www.sasec.org.au/resource-library/development,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,,low,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
5f5b9d02-43ed-4e15-aa00-1c7590c5a537,Stage 4 Growth,,,,https://www.sasec.org.au/resource-library/growth,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,,low,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
d56ccd8b-87a2-4d4d-a2b6-58d329262429,Stage 5 Established,,,,https://www.sasec.org.au/resource-library/established,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,2026-03-12 20:04:40.44+00,medium,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
3a7c83fd-a47f-489e-9ead-47b1971ad817,"Policies, Research & Publications",,,,https://www.sasec.org.au/resource-library/policies-research-publications,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,2026-03-12 20:04:09.1+00,medium,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
f55af876-17f4-405b-8307-c32855905a87,Business For Good Resources,,,,https://www.sasec.org.au/resource-library/business-for-good,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,2026-03-12 20:04:58.176+00,high,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
1b9187ab-8838-4d10-96a4-f71ea941e88b,Supporting social enterprises,,,,https://www.sasec.org.au/resource-library/supporting-social-enteprises,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.740Z""}]",sasec,2026-03-12 20:03:31.619+00,medium,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
168449b1-be01-4fb9-9932-28d8d2ce1a84,All South Australia,,,,,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.743Z""}]",sasec,,low,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
8560e472-95a6-41fe-8a80-48819a49a9b4,Metropolitan Adelaide,,,,,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.743Z""}]",sasec,,low,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
e94ba0f2-995a-4d9f-aeef-2fbea739d491,Adelaide Hills,,,,,,social_enterprise,,{community},SA,,,,[],"[{""url"": ""https://www.sasec.org.au/members"", ""source"": ""sasec"", ""scraped_at"": ""2026-05-09T09:41:09.743Z""}]",sasec,,low,2026-03-12 06:54:51.383359+00,2026-03-12 06:54:51.383359+00,,,
